"skill_id","skills","avg_salary","role"
237,"asana","215477.38","Data Scientist"
232,"airtable","201142.86","Data Scientist"
173,"redhat","189500.00","Data Scientist"
85,"watson","187417.14","Data Scientist"
41,"elixir","170823.56","Data Scientist"
50,"lua","170500.00","Data Scientist"
247,"slack","168218.76","Data Scientist"
38,"solidity","166979.90","Data Scientist"
153,"ruby on rails","166500.00","Data Scientist"
111,"rshiny","166436.21","Data Scientist"
238,"notion","165636.36","Data Scientist"
34,"objective-c","164500.00","Data Scientist"
58,"neo4j","163971.09","Data Scientist"
119,"dplyr","163111.06","Data Scientist"
121,"hugging face","160867.72","Data Scientist"
64,"dynamodb","160581.13","Data Scientist"
43,"haskell","157500.00","Data Scientist"
225,"unity","156881.25","Data Scientist"
96,"airflow","155878.41","Data Scientist"
230,"codecommit","154683.52","Data Scientist"
227,"unreal","153278.33","Data Scientist"
118,"theano","153133.41","Data Scientist"
248,"zoom","151676.89","Data Scientist"
77,"bigquery","149291.75","Data Scientist"
219,"atlassian","148714.59","Data Scientist"
